t_rel_s,event,seq,info
1.99781,timeout,395,deneme=0
1.999014,retransmit,395,
1.999098,ack,387,
1.999201,ack,388,
2.000105,ack,384,
2.000868,send,400,
2.001327,send,401,
2.002969,send,402,
2.003374,send,403,
2.003878,send,404,
2.004741,send,405,
2.005417,send,406,
2.005817,ack,392,
2.005893,ack,395,
2.006053,ack,401,
2.006318,ack,402,
2.006592,ack,400,
2.007638,ack,404,
2.007853,ack,403,
2.009124,ack,406,
2.009346,ack,405,
2.096762,timeout,391,deneme=1
2.097493,retransmit,391,
2.100968,ack,391,
2.101627,send,407,
2.102268,send,408,
2.102756,send,409,
2.103307,send,410,
2.103337,send,411,
2.103355,send,412,
2.103951,send,413,
2.104771,send,414,
2.106085,send,415,
2.106903,send,416,
2.107445,send,417,
2.108077,send,418,
2.109319,send,419,
2.110109,send,420,
2.11049,send,421,
2.111188,send,422,
2.111405,ack,408,
2.111472,ack,407,
2.111676,send,423,
2.112576,send,424,
2.112633,ack,414,
2.112662,ack,413,
2.114425,ack,410,
2.114468,ack,409,
2.114751,send,425,
2.115086,send,426,
2.115415,ack,415,
2.116399,ack,419,
2.116571,ack,417,
2.117944,ack,424,
2.118016,ack,416,
2.11807,ack,420,
2.118117,ack,423,
2.118169,ack,422,
2.118491,ack,425,
2.118512,ack,426,
2.203741,timeout,411,deneme=0
2.204105,retransmit,411,
2.20411,timeout,412,deneme=0
2.204356,retransmit,412,
2.206604,ack,411,
2.206883,send,427,
2.206924,ack,412,
2.207127,send,428,
2.207388,send,429,
2.207603,send,430,
2.207884,send,431,
2.208362,send,432,
2.208868,send,433,
2.209578,ack,427,
2.209585,timeout,418,deneme=0
2.210067,retransmit,418,
2.210366,ack,428,
2.210852,ack,429,
2.210858,timeout,421,deneme=0
2.211104,retransmit,421,
2.21119,ack,431,
2.211595,ack,430,
2.212143,ack,433,
2.21249,ack,432,
2.212841,ack,418,
2.213088,send,434,
2.213289,send,435,
2.213306,send,436,
2.214522,ack,421,
2.214702,send,437,
2.215254,send,438,
2.215475,send,439,
2.215644,send,440,
2.215911,send,441,
2.217023,send,442,
2.217682,send,443,
2.217967,send,444,
2.219361,send,445,
2.219702,send,446,
2.220117,send,447,
2.220639,send,448,
2.220789,send,449,
2.220859,ack,434,
2.221619,send,450,
2.221679,ack,435,
2.22199,send,451,
2.222015,ack,438,
2.222327,ack,439,
2.222372,ack,437,
2.222388,ack,441,
2.222402,ack,440,
2.222413,ack,444,
2.222426,ack,442,
2.222463,ack,443,
2.222992,ack,445,
2.224039,ack,447,
2.224454,ack,448,
2.224617,ack,446,
2.224754,ack,449,
2.224775,ack,451,
2.314248,timeout,436,deneme=0
2.31485,retransmit,436,
2.318568,ack,436,
2.319115,send,452,
2.319579,send,453,
2.3202,send,454,
2.320884,send,455,
2.321581,send,456,
2.32373,send,457,
2.326909,send,458,
2.328222,send,459,
2.329005,send,460,
2.33,send,461,
2.330697,send,462,
2.331677,send,463,
2.332233,send,464,
2.333002,send,465,
2.33325,ack,453,
2.333264,timeout,450,deneme=0
2.333774,retransmit,450,
2.334173,ack,452,
2.334462,ack,456,
2.334793,ack,455,
2.336619,ack,458,
2.338117,ack,457,
2.338488,ack,459,
2.338684,ack,461,
2.338964,ack,462,
2.339004,ack,464,
2.340214,ack,450,
2.340793,send,466,
2.341212,send,467,
2.341518,send,468,
2.342048,send,469,
2.343104,ack,465,
2.343378,ack,463,
2.345733,ack,467,
2.346125,ack,466,
2.346533,ack,468,
2.347383,ack,469,
2.420679,timeout,454,deneme=0
2.421027,retransmit,454,
2.42339,ack,454,
2.423587,send,470,
2.423761,send,471,
2.423949,send,472,
2.424078,send,473,
2.424326,send,474,
2.424571,send,475,
2.427786,ack,474,
2.427853,ack,470,
2.427987,ack,471,
2.428261,ack,472,
2.428282,ack,473,
2.429048,ack,475,
2.429052,timeout,460,deneme=0
2.429216,retransmit,460,
2.431598,ack,460,
2.431764,send,476,
2.431914,send,477,
2.432029,send,478,
2.432164,send,479,
2.432326,send,480,
2.432681,send,481,
2.432816,send,482,
2.432944,send,483,
2.433199,send,484,
2.43321,send,485,
2.433213,send,486,
2.434085,send,487,
2.434661,send,488,
2.435363,send,489,
2.435374,send,490,
2.435607,send,491,
2.435642,ack,476,
2.435858,send,492,
2.43593,ack,479,
2.435958,ack,480,
2.436174,ack,478,
2.436997,ack,483,
2.437091,ack,481,
2.437855,ack,487,
2.437888,ack,482,
2.438296,ack,484,
2.438547,ack,491,
2.438778,ack,489,
2.438924,ack,488,
2.439093,ack,477,
2.43925,send,493,
2.439407,send,494,
2.439527,send,495,
2.439641,send,496,
2.439755,send,497,
2.439881,send,498,
2.440003,send,499,
2.440132,send,500,
2.440167,ack,492,
2.441308,ack,495,
2.441705,ack,494,
2.44266,ack,500,
2.442862,ack,493,
2.44288,ack,497,
2.443535,ack,499,
2.44355,ack,498,
2.533996,timeout,485,deneme=0
2.534718,retransmit,485,
2.534734,timeout,486,deneme=0
2.535295,retransmit,486,
2.536734,timeout,490,deneme=0
2.53676,retransmit,490,
2.538189,ack,485,
2.538707,send,501,
2.539013,ack,486,
2.539443,send,502,
2.540122,send,503,
2.540625,send,504,
2.542333,send,505,
2.544066,ack,501,
2.544079,timeout,496,deneme=0
2.54459,retransmit,496,
2.544645,ack,503,
2.544727,ack,502,
2.545251,ack,504,
2.54623,ack,505,
2.54779,ack,496,
